WMO_ID,n_casts,total_distance_km,straight_line_distance_km,avg_distance_per_cast_km,max_distance_per_cast_km,min_distance_per_cast_km,std_distance_per_cast_km,start_lat,start_lon,end_lat,end_lon,source
1900943.0,62,2661.1033116224066,835.967137854064,43.62464445282634,462.63104224056474,1.6065133177785895,73.98388329421188,17.604999542236328,-24.292999267578125,20.31599998474121,-31.708999633789062,PFL1
1901205.0,195,8843.746989968713,590.0308402825566,45.586324690560375,478.8139092905042,2.224443729658812,56.05914505768019,45.880001068115234,-19.910999298095703,40.74800109863281,-21.767000198364258,PFL1
1901206.0,199,8622.296325210567,1262.7799978768933,43.54695113742711,120.0459146210586,4.46698897479445,21.589568292741237,42.0880012512207,-20.003000259399414,31.4950008392334,-25.135000228881836,PFL1
1901215.0,12,529.4960956983983,250.49796237595186,48.13600869985439,151.04430756806144,4.960207587944141,38.00974699810818,53.678001403808594,-39.96799850463867,53.792999267578125,-36.16400146484375,PFL1
1901360.0,108,3478.62395900753,679.3776205834827,32.51050428979,267.48787742782486,2.8093632665294765,37.71231011123764,18.045000076293945,-17.305999755859375,14.11400032043457,-22.174999237060547,PFL1
1901361.0,119,3810.131443211829,1118.704394888681,32.28924951874431,463.5667174739571,4.283728648404762,49.52547412247145,18.038000106811523,-17.30900001525879,16.242000579833984,-27.670000076293945,PFL1
1901362.0,18,389.2819788476887,312.23058962447965,22.898939932216983,35.24726538535565,6.721066638279429,6.479873863735462,18.047000885009766,-17.316999435424805,19.361000061035156,-19.937000274658203,PFL1
1901363.0,123,2936.5870049827568,584.9701397946016,24.070385286743907,182.40361867853588,2.1014348932688915,24.581412159452068,18.023000717163086,-17.301000595092773,16.545000076293945,-22.589000701904297,PFL1
1901364.0,61,1684.984918362227,878.7187307249478,28.083081972703784,67.94756025544055,5.679619098669329,13.840123786371137,18.000999450683594,-17.22100067138672,17.19499969482422,-25.4689998626709,PFL1
1901365.0,121,4238.632786209659,1047.3330348334011,35.32193988508049,471.27518913444015,3.4136761477188773,50.29435060607726,17.98900032043457,-17.214000701904297,17.52199935913086,-27.093000411987305,PFL1
1901378.0,265,9159.167005134444,1099.4446059828624,34.69381441338805,397.7847465680356,0.6713924866573643,40.019454888439455,32.2400016784668,-63.76300048828125,36.6510009765625,-74.50499725341797,PFL1
1902303.0,39,339.09803634668,309.60577015943693,8.923632535438946,45.43108023322757,1.0950801053772605,7.2720638574791465,49.236000061035156,-14.741999626159668,46.45600128173828,-14.510000228881836,PFL1
1902304.0,42,340.3729939592621,27.69299243269761,8.301780340469808,14.508053357058087,1.1795742468733803,3.4454625049484027,48.987998962402344,-14.777000427246094,48.74300003051758,-14.845000267028809,PFL1
3900515.0,111,1866.5500732349328,474.5390842259422,16.96863702940848,140.371880879316,1.7824633127709393,15.946995577567192,-13.993000030517578,-82.7770004272461,-12.732999801635742,-86.96800231933594,PFL1
3900516.0,179,4576.083345938303,1032.7796750532445,25.70833340414777,786.8194862479622,0.489351839918155,81.48053456004054,-12.362000465393066,-79.16300201416016,-10.944000244140625,-88.53600311279297,PFL1
3900532.0,175,4995.842762014678,279.37030533791454,28.711740011578605,596.8563038834665,0.5632769374411499,45.16597244098356,-6.054999828338623,-89.23999786376953,-7.979000091552734,-90.86799621582031,PFL1
3900791.0,99,3550.789643343885,492.39413166427937,36.23254738106005,107.58465236457961,1.9432436464634038,20.41314653533654,-3.4619998931884766,-86.69999694824219,-5.7230000495910645,-90.5199966430664,PFL1
3900792.0,51,1576.0406619715159,474.6918897600623,31.520813239430318,189.87576696356666,3.577608632648764,25.60220849939622,-8.032999992370605,-81.87999725341797,-7.671999931335449,-86.17400360107422,PFL1
3901075.0,128,6198.103723921373,313.0612741491063,48.80396633008955,200.16481908396605,6.8000638347547415,29.105843462406916,-10.013999938964844,-85.81500244140625,-12.819000244140625,-85.56800079345703,PFL1
3901076.0,155,5042.382139642066,662.7086672295828,32.742741166506924,684.8982607820786,0.8961078051902723,61.14367219488957,-10.015000343322754,-85.79299926757812,-11.59000015258789,-91.6449966430664,PFL1
3901078.0,143,3785.363177101271,446.06899299168055,26.65748716268501,87.32289396562307,3.226593256927621,13.769965861314112,-7.998000144958496,-85.84100341796875,-6.203999996185303,-89.45700073242188,PFL1
3901080.0,100,4464.038327799923,1104.5418832848698,45.09129624040326,574.0609642251353,1.7934481817107553,75.10016869870093,-6.034999847412109,-85.81900024414062,-4.756999969482422,-95.71399688720703,PFL1
3901082.0,30,1057.9943770486364,538.6681087843986,36.482564725815045,74.24566514118365,6.434685339761022,18.213087781406887,-3.996999979019165,-85.88099670410156,-1.0190000534057617,-89.70600128173828,PFL1
3901084.0,54,2396.9956836558313,1348.995562644653,45.22633365388361,474.0549459616842,4.77280944041275,63.86810129030023,-1.9850000143051147,-85.84500122070312,-6.921999931335449,-96.96399688720703,PFL1
3902122.0,298,4151.577854613493,230.4234311954991,13.978376614860247,198.69683542353184,0.44465334402988327,16.83875740724633,10.883586883544922,-27.638629913330078,11.063748359680176,-25.5357723236084,PFL1
3902123.0,192,2514.5757929308293,697.7396024957442,13.165318287595964,112.3288448625104,0.6175569643602469,10.533283474547165,7.735931873321533,-26.854246139526367,7.664401531219482,-20.522579193115234,PFL1
3902126.0,57,277.76352065090964,183.13647384878917,4.960062868766244,11.350795222202992,0.5753616147490335,2.768488653542692,29.132596969604492,-18.45897102355957,28.647539138793945,-16.661283493041992,PFL1
3902127.0,104,1851.021007530485,560.9120012691224,17.971077743014416,54.65353514554897,0.8030058211580924,9.962668714643089,42.94776153564453,-15.77517032623291,41.041629791259766,-22.06170082092285,PFL1
3902132.0,118,4572.135357358315,279.03799931784533,39.078079977421496,142.20875376187675,0.4838601157675756,42.44422586267193,0.011195000261068344,-9.836893081665039,0.8833349943161011,-12.190008163452148,PFL1
4900345.0,35,1193.8697279782778,19.194288464467007,35.113815528772875,311.52101373172985,1.8673181632558054,50.760028534288054,52.01599884033203,-48.36000061035156,51.922000885009766,-48.595001220703125,PFL1
4900607.0,17,792.375719495574,428.64961809010777,49.523482468473375,204.54316202610912,16.78265181073824,43.33896041551711,50.4900016784668,-48.20800018310547,53.972999572753906,-45.507999420166016,PFL1
4900856.0,11,433.26651997248734,143.69396713863713,43.32665199724873,71.78159446206138,14.180326333385382,16.22559625526543,10.119000434875488,-39.229000091552734,9.560999870300293,-38.04600143432617,PFL1
4901460.0,10,322.5144277663012,77.12455897517312,35.83493641847791,74.23486841151336,8.451541850056678,20.236487800523616,1.9809999465942383,-22.09600067138672,1.8040000200271606,-22.767000198364258,PFL1
4902390.0,15,554.1243038928595,304.1202220451799,39.58030742091854,100.6657611276973,3.7783121715105614,30.057968976868548,44.0800895690918,-54.67094802856445,41.58805465698242,-56.208213806152344,PFL1
